date,buy plants online,caring for plant,dying plant,isPartial
2019-08-18,8,12,38,False
2019-08-25,3,3,33,False
2019-09-01,9,15,22,False
2019-09-08,6,11,24,False
2019-09-15,6,8,29,False
2019-09-22,9,3,22,False
2019-09-29,8,12,31,False
2019-10-06,9,6,30,False
2019-10-13,3,8,19,False
2019-10-20,5,6,21,False
2019-10-27,3,12,11,False
2019-11-03,12,12,15,False
2019-11-10,3,12,19,False
2019-11-17,4,3,18,False
2019-11-24,6,6,22,False
2019-12-01,15,1,24,False
2019-12-08,4,9,16,False
2019-12-15,11,8,18,False
2019-12-22,5,7,15,False
2019-12-29,8,5,35,False
2020-01-05,9,3,19,False
2020-01-12,17,4,14,False
2020-01-19,4,4,22,False
2020-01-26,13,7,30,False
2020-02-02,9,4,19,False
2020-02-09,11,10,39,False
2020-02-16,14,10,30,False
2020-02-23,6,11,28,False
2020-03-01,13,6,25,False
2020-03-08,20,13,11,False
2020-03-15,19,8,27,False
2020-03-22,38,13,28,False
2020-03-29,77,4,30,False
2020-04-05,72,9,55,False
2020-04-12,64,18,55,False
2020-04-19,57,16,44,False
2020-04-26,48,25,75,False
2020-05-03,61,27,74,False
2020-05-10,61,30,67,False
2020-05-17,58,34,84,False
2020-05-24,39,27,62,False
2020-05-31,36,13,82,False
2020-06-07,28,24,62,False
2020-06-14,21,17,62,False
2020-06-21,24,22,66,False
2020-06-28,14,20,84,False
2020-07-05,20,18,89,False
2020-07-12,29,26,89,False
2020-07-19,22,16,79,False
2020-07-26,20,15,100,False
2020-08-02,23,21,67,False
2020-08-09,10,14,65,False
2020-08-16,32,13,56,False
2020-08-23,18,12,52,False
2020-08-30,22,8,63,False
2020-09-06,18,10,47,False
2020-09-13,12,16,51,False
2020-09-20,24,9,27,False
2020-09-27,15,10,36,False
2020-10-04,12,15,30,False
2020-10-11,11,13,32,False
2020-10-18,15,10,38,False
2020-10-25,6,15,31,False
2020-11-01,11,12,21,False
2020-11-08,11,14,31,False
2020-11-15,17,3,31,False
2020-11-22,8,2,23,False
2020-11-29,12,9,36,False
2020-12-06,8,11,25,False
2020-12-13,3,6,32,False
2020-12-20,9,5,19,False
2020-12-27,19,3,26,False
2021-01-03,6,6,44,False
2021-01-10,18,9,35,False
2021-01-17,26,11,32,False
2021-01-24,34,34,68,True
