date,buy plants online,caring for plant,dying plant,isPartial
2019-08-18,3,10,34,False
2019-08-25,2,5,38,False
2019-09-01,11,21,18,False
2019-09-08,6,8,29,False
2019-09-15,8,3,19,False
2019-09-22,5,13,19,False
2019-09-29,8,10,27,False
2019-10-06,6,6,27,False
2019-10-13,5,6,19,False
2019-10-20,5,10,30,False
2019-10-27,6,9,13,False
2019-11-03,3,14,19,False
2019-11-10,3,11,15,False
2019-11-17,8,6,17,False
2019-11-24,7,8,15,False
2019-12-01,9,8,27,False
2019-12-08,8,3,22,False
2019-12-15,13,11,24,False
2019-12-22,9,4,12,False
2019-12-29,10,12,21,False
2020-01-05,14,5,23,False
2020-01-12,9,3,25,False
2020-01-19,14,5,37,False
2020-01-26,16,4,21,False
2020-02-02,18,9,18,False
2020-02-09,12,13,23,False
2020-02-16,9,13,22,False
2020-02-23,13,7,30,False
2020-03-01,17,13,22,False
2020-03-08,20,6,29,False
2020-03-15,27,7,28,False
2020-03-22,46,18,30,False
2020-03-29,43,7,35,False
2020-04-05,80,10,59,False
2020-04-12,90,20,37,False
2020-04-19,68,20,46,False
2020-04-26,61,16,71,False
2020-05-03,68,24,57,False
2020-05-10,55,25,63,False
2020-05-17,57,22,78,False
2020-05-24,52,22,73,False
2020-05-31,28,19,78,False
2020-06-07,31,17,78,False
2020-06-14,23,19,82,False
2020-06-21,32,17,67,False
2020-06-28,33,16,87,False
2020-07-05,25,16,86,False
2020-07-12,19,18,100,False
2020-07-19,32,24,74,False
2020-07-26,15,14,77,False
2020-08-02,21,27,86,False
2020-08-09,21,9,55,False
2020-08-16,26,10,70,False
2020-08-23,24,11,53,False
2020-08-30,27,23,51,False
2020-09-06,27,14,50,False
2020-09-13,7,10,43,False
2020-09-20,27,7,43,False
2020-09-27,21,10,31,False
2020-10-04,18,11,33,False
2020-10-11,12,8,35,False
2020-10-18,20,17,35,False
2020-10-25,15,10,30,False
2020-11-01,13,10,18,False
2020-11-08,19,14,32,False
2020-11-15,11,8,33,False
2020-11-22,19,8,34,False
2020-11-29,13,10,30,False
2020-12-06,11,8,23,False
2020-12-13,7,0,23,False
2020-12-20,5,11,37,False
2020-12-27,15,8,32,False
2021-01-03,8,8,48,False
2021-01-10,13,14,29,False
2021-01-17,11,14,37,False
2021-01-24,0,23,12,True
